Date	Owner	Owner SubRegion	Campaign Group	Market Scope	Destination - Featured Market	Market - more	Ongoing Campaign	Program Type	Offer	Segment	Campaign Name	Description	Sell Start Date	Sell End Date	Stay Start Date	Stay End Date	Brand	Events	Media	Content	Direct Mail	Email	On Property	Brand-dot-Com	Loyalty 	PR	Social	Other Channels
Jul-17	Scott Holmgren	CALA	Regional Portfolio	Multi-Regional - Hotels from Two or more Regions (but not all) within One Single participating Division	Other - please list in column G	New York City, Miami, Orlando, DC, Houston, Dallas	Yes	Field Marketing	Package	Leisure	NYC, Florida The Ritz-Carlton CALA Summer Co-Op	Stay Longer With Us package promotion for 6 CALA resorts	6/12/2017	8/31/2017	6/12/2017	12/15/2017	RC	No	Yes	No	No	Yes	No	Yes	No	No	Yes	Paid Search
Jul-17	Scott Holmgren	CALA	Regional Portfolio	Multi-Regional - Hotels from Two or more Regions (but not all) within One Single participating Division	Entire US		No	Field Marketing	Loyalty Offers (MI, RC & SW)	Leisure	US - The Ritz-Carlton Fall CALA Rewards AMPS	Earn Double Points for minimum 5-night stay at 6 CALA resorts	8/23/2017	12/15/2017	8/23/2017	12/15/2017	RC	No	No	No	No	Yes	No	No	Yes	No	No	
Aug-17	Brittany Blais	CANADA	Destination Cluster	Cluster - Participation of two or more hotels; usually, but not necessarily, within a Single Market	Toronto, Canada		Yes	Field Marketing	Rate Only	Leisure	Toronto - Seasonal Awareness - Up to 15% Savings	Save up to 15%	1/1/2017	12/31/2017	1/1/2017	12/31/2017	SI, WI, GX, AL, EL, 4P	No	Yes	Yes	No	Yes	No	Yes	No	No	Yes	Kayak Inline Ads
Aug-17	Jennifer Bryl	CANADA	Loyalty	Cluster - Participation of two or more hotels; usually, but not necessarily, within a Single Market	Canada		No	Marriott Rewards	Loyalty Offers (MI, RC & SW)	Leisure	Canada - Aeroplan Summer Promotion 2017	Earn up to 2500 Bonus Miles on 3 nights	5/1/2017	5/1/2017	9/4/2017	9/4/2017	CY, DE, FI, MH, BR, RI, SH, TS	Yes	Yes	No	No	Yes	No	No	No	No	No	Aeroplan
Aug-17	Jennifer Bryl	CANADA	Loyalty	Cluster - Participation of two or more hotels; usually, but not necessarily, within a Single Market	Canada		No	Marriott Rewards	Loyalty Offers (MI, RC & SW)	Leisure	Canada - Aeroplan Fall Travel Bundle 2017	Earn up to 2500 Bonus Miles on 4 nights. Offer is valid any day of the week for participating Marriott Rewards Canadian hotels only. Must book with promo code MR5. 	9/12/2017	1/31/2018	9/12/2017	1/31/2018	AC, CY, DE, FI, MH, BR, RI, TS	Yes	Yes	No	No	Yes	No	No	No	No	No	Aeroplan
Sep-17	Katie MacDonald	CANADA	Regional Portfolio	Regional - Hotels within One Single participating Region	Canada	Canada	No	Field Marketing	Partnership (Credit Card, Airlines) 	Leisure	Canada - Aeroplan Fall Offer	Up t0 2500 bonus miles per stay at participating Canadian properties		1/31/2018	09/11/2017	1/31/2017	JW, MH, RH	No	No	Yes								
Oct-17	Madeline Hawkins 	CANADA	Regional Portfolio	Regional - Hotels within One Single participating Region	Other - please list in column G	Canada 	No	Americas BMD Marketing	Rate Only	Leisure	Canada -  Destination Display Media	Channels: Display advertising across travel networks through desktop, mobile, video and high-impact ad formats 	5/15/2017	12/31/2017	1/1/2017	3/31/2018		No	Yes	No	No	No	No	No	No	No	No	
Oct-17	Madeline Hawkins 	CANADA	Regional Portfolio	Regional - Hotels within One Single participating Region	Other - please list in column G	Canada 	No	Americas BMD Marketing	Rate Only	Leisure	Canada - Destination Paid Search	Channels: Paid search across destination and property terms.	1/1/2017	12/31/2017	1/1/2017	3/31/2018		No	Yes	No	No	No	No	No	No	No	No	
Oct-17	Madeline Hawkins 	CANADA	Regional Portfolio	Regional - Hotels within One Single participating Region	Other - please list in column G	Canada 	No	Americas BMD Marketing	Rate Only	Leisure	Canada - Destination Paid Social Media 	Channels: Advertising across social channels in support of Marriott Traveler Canadian destination content.	1/1/2017	12/31/2017	1/1/2017	3/31/2018		No	Yes	No	No	No	No	No	No	No	No	
Oct-17	Madeline Hawkins 	CANADA	Loyalty	Cluster - Participation of two or more hotels; usually, but not necessarily, within a Single Market	Other - please list in column G	Canada 	No	Americas BMD Marketing	Loyalty Offers (MI, RC & SW)	Leisure	Canada - JW Vancouver Hotel Opening Offer 	Stay 2+ nights to earn 5,000 Marriott Rewards Bonus Points per stay; maximum 10,000 Bonus Points per member. Must book Promotional Code M11.	11/1/2017	1/17/2018	11/1/2017	1/17/2018	JW, AK	No	No	No	No	No	Yes	No	Yes	No	No	November and December Canada Regional METT, Hotel Specials/Hotel Landing Page, Marriott Rewards Instagram Story  
Jul-17	Mari Takamura	CANADA	Destination Cluster	Cluster - Participation of two or more hotels; usually, but not necessarily, within a Single Market	Other - please list in column G	Vancouver	Yes	Field Marketing	Rate Only	Leisure	Vancouver - Great Rates with up to 15% discount! 	Ongoing destination awareness promoting DAILY rates (savings up to 15%).	1/1/2017	12/31/2017	1/1/2017	12/31/2017	SI, WI, 4P, EL	No	No	Yes	No	Yes	No	Yes	No	No	Yes	
Jul-17	Wendy Vividor	LOYALTY	Loyalty	Global - Hotels from Two or more participating Divisions	Global		No	Ritz Carlton Rewards	Loyalty Offers (MI, RC & SW)	Corp Trans	The Ritz Carlton Rewards - Q3 Global Loyalty Offer	Earn double points for stays of 2 nights or longer, Triple points for RC Credit Card holders	5/15/2017	8/30/2017	5/27/2017	9/4/2017	RC	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	No	Yes	Business travel sales collateral 
Jul-17	Wendy Vividor	LOYALTY	Loyalty	Global - Hotels from Two or more participating Divisions	Global		No	Marriott Rewards	Loyalty Offers (MI, RC & SW)	Leisure	Marriott Rewards - Q3 Global Loyalty Offer	Earn double points per stay beginning with 2nd stay, earn another 2X points per stay with 2nd brand. 	5/15/2017	8/30/2017	5/27/2017	9/4/2017	MH	Yes	Yes	Yes	Yes	Yes	Yes	No	Yes	No	Yes	Business travel sales collateral 
Jul-17	Wendy Vividor	LOYALTY	Loyalty	Global - Hotels from Two or more participating Divisions	Global		No	SPG	Loyalty Offers (MI, RC & SW)	Leisure	SPG - Q3 Global Loyalty Offers	Earn double Starpoints on stays of 2+ nights, triple points on stays of 2+ nights if includes a Fri/Sat/Sun night. 	5/15/2017	7/31/2017	5/27/2017	9/4/2017	SPG	Yes	Yes	Yes	Yes	Yes	Yes	No	Yes	No	Yes	Business travel sales collateral 
Jul-17	Addie Horton	PORTFOLIO	Brand	Divisional - Hotels in All Regions within One Single participating Division	Canada	Americas	Yes	Americas BMD Marketing	Rate Only	Leisure	Great Weekends & Turn on Your Weekend	Promote weekend stays throughout Americas promoting Member Rates.	12/31/2017	12/25/2017	12/31/2017	TBD	AK, AC, CY	No	Yes	Yes	No	Yes	No	Yes	No	No	No	
Jul-17	Addie Horton	PORTFOLIO	National B2C	Divisional - Hotels in All Regions within One Single participating Division	Other - please list in column G	Americas	Yes	Americas BMD Marketing	Rate Only	Leisure	Destination Display Media & Paid Search 	(Display advertising to appear on sites like CNN.com, TravelandLeisure.com, Pandora, NY Times, etc. Paid search across destination and property terms). 	12/31/2017	12/31/2017	1/1/2017	12/31/2017	CY, RI, SH, TP, FI, AC, AL, EL, 4P, ED	No	Yes	No	No	No	No	No	No	No	No	
Jul-17	Addie Horton	PORTFOLIO	National B2C	Divisional - Hotels in All Regions within One Single participating Division	Other - please list in column G	Americas	No	Americas BMD Marketing	Rate Only	Leisure	Americas Summer Promotion	Support July 4th and Q3 bookings for the Americas by promoting Best Available Rates.  	12/12/2017	9/30/2017	6/7/2017	9/30/2017	PM	No	Yes	Yes	No	Yes	No	Yes	No	Yes	Yes	Trip Advisor, Search, OTA, BrandUSA within Expedia and Sojern
Jul-17	Addie Horton	PORTFOLIO	National B2C	Divisional - Hotels in All Regions within One Single participating Division	Other - please list in column G	Americas	Yes	Americas BMD Marketing	None	Leisure	Divisional Email Marketing	Deploy SPG + Marriott monthly emails to 10 million + contacts promoting member rates, discounts, destination marketing, local packages and more to aid in demand generation. 	ongoing	12/31/2017	1/1/2017	12/31/2017	PM	No	No	No	No	Yes	No	No	No	No	Yes	
Jul-17	Addie Horton	PORTFOLIO	National B2C	Divisional - Hotels in All Regions within One Single participating Division	Other - please list in column G	Americas	No	Americas BMD Marketing	Rate Only	Leisure	2017 Cyber Monday	Limited time offer to capture Q4/Q1 bookings during largest digital shopping day annually	TBD	TBD	TBD	TBD	PM	Yes	Yes	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	
Jul-17	Addie Horton	PORTFOLIO	National B2C	Divisional - Hotels in All Regions within One Single participating Division	Other - please list in column G	Americas	No	Americas BMD Marketing	Rate Only	Leisure	2017 Singles Day	One day sale targeting Chinese consumers to capture Q4/Q1 bookings during largest digital shopping day annually.	7/6/2017	11/11/2017	11/11/2017	3/31/2018	PM	No	Yes	Yes	No	Yes	No	Yes	No	Yes	Yes	
Jul-17	Dayna Detro	PORTFOLIO	Brand	Divisional - Hotels in All Regions within One Single participating Division	Entire US		No	Americas BMD Marketing	Partnership (Credit Card, Airlines) 	Leisure	US - MasterCard SPG Campaign	Buy 2, Get 3rd Night Free	7/15/2017	9/30/2017	7/15/2017	12/31/2017	SPG, PM	No	Yes	No	No	No	No	No	No	No	No	$250K digital media, MasterCard Priceless Cities, and cardmember communication
Jul-17	Dayna Detro	PORTFOLIO	Brand	Divisional - Hotels in All Regions within One Single participating Division	Entire US		No	Americas BMD Marketing	Partnership (Credit Card, Airlines) 	Leisure	US - American Express SPG Campaign	Better Tomorrows (40% off 2nd night)	9/1/2017	12/31/2017	9/1/2017	12/31/2017	SPG, PM	No	Yes	No	No	No	No	No	No	No	No	Remarketing campaign
Jul-17	Dayna Detro	PORTFOLIO	Brand	Divisional - Hotels in All Regions within One Single participating Division	Entire US		No	Americas BMD Marketing	Partnership (Credit Card, Airlines) 	Leisure	US - American Express Marriott Rewards Offer	Spend $200, get 3,000 Membership Reward Points	TBD	TBD	TBD	TBD	MH, PM	No	Yes	No	Yes	Yes	No	No	No	No	No	American Express cardmember communication (account summary, mobile app, push email)
Sep-17	Dayna Detro	PORTFOLIO	Loyalty	Divisional - Hotels in All Regions within One Single participating Division		US, Canada, and CALA	Yes	Americas BMD Marketing	Partnership (Credit Card, Airlines) 	Leisure	Americas American Express Campaign (SPG Participating Properties)	Remarking digital media campaign, American Express direct mail piece to OTA bookers, and dedicated SPG email to cardmembers	10/01/17	12/31/17	10/01/17		SI, WI, WH, LC, ST, MD, AL, EL, 4P	No	Yes	No	Yes	Yes	No	No	Yes	No	No	
Sep-17	Dayna Detro	PORTFOLIO	Loyalty	Divisional - Hotels in All Regions within One Single participating Division		US, Canada, and CALA	Yes	Americas BMD Marketing	Partnership (Credit Card, Airlines) 	Leisure	Americas Mastercard Campaign (SPG Participating Properties)	$250K digital media campaign targeting frequent travelers, OTA bookers and Mastercard cardmembers; marketing through Mastercard channels including Priceless Cities and cardmember communication	09/19/17	10/31/17	09/19/17	12/31/17	SI, WI, WH, LC, ST, MD, AL, EL, 4P	No	Yes	No	No	Yes	No	No	Yes	No	No	
Sep-17	Dayna Detro	PORTFOLIO	Loyalty	Divisional - Hotels in All Regions within One Single participating Division	New York, NY	US, Canada, and CALA	Yes	Americas BMD Marketing	Partnership (Credit Card, Airlines) 	Leisure	Amtrak AIRPRO Campaign	Dedicated email to Amtrak database + messaging on Acela routes message board	10/01/17	10/31/17	10/01/17	12/31/17	SI, WI, WH, LC, ST, MD, AL, EL, 4P	No	No	No	No	Yes	No	No	Yes	No	No	Amtrak Acela Train Message Board
Aug-17	Kevin Kwan	PORTFOLIO	Brand	Divisional - Hotels in All Regions within One Single participating Division	Other - please list in column G	Americas	Yes	Field Marketing	Package	Leisure	Brand - Aloft Sip in Style Offer	Stay & play and enjoy two signature cocktails for each night of your stay.	1/1/2017	12/31/2017	1/1/2017	12/31/2017	AL	No	Yes	Yes	No	Yes	Yes	Yes	No	No	Yes	
Aug-17	Kevin Kwan	PORTFOLIO	Brand	Divisional - Hotels in All Regions within One Single participating Division	Other - please list in column G	Americas	Yes	Field Marketing	Package	Leisure	Brand - Four Points Best Brews Offer	Kick back and relax and enjoy two best brews for each night of your stay.	1/1/2017	12/31/2017	1/1/2017	12/31/2017	4P	No	Yes	Yes	No	Yes	Yes	Yes	No	No	Yes	
Aug-17	Kevin Kwan	PORTFOLIO	Brand	Divisional - Hotels in All Regions within One Single participating Division	Other - please list in column G	Americas	Yes	Field Marketing	Rate Only	Leisure	Brand - Element Upgrade Offer	Relax & recharge with up to 50% savings on your room upgrade.	1/1/2017	12/31/2017	1/1/2017	12/31/2017	EL	No	Yes	Yes	No	Yes	Yes	Yes	No	No	Yes	
Aug-17	Lori Drake	PORTFOLIO	Destination Cluster	Cluster - Participation of two or more hotels; usually, but not necessarily, within a Single Market	Other - please list in column G	Suburban MD	Yes	Field Marketing	Other Brand Package	Leisure	Maryland - Super Summer Savings Promo	Super Summer Savings up to 25 percent off. Stay three nights and get 15% off or stay four nights and get 25% off. Available all week long with a Friday or Saturday stay.	5/29/2017	9/4/2017	6/1/2017	9/4/2017	MH	No	Yes	Yes	No	Yes	Yes	Yes	No	No	Yes	
Jul-17	Meagan Stephanson	PORTFOLIO	National B2C	Divisional - Hotels in All Regions within One Single participating Division	Other - please list in column G	Americas	No	Americas BMD Marketing	Rate Only	Leisure	New Orleans - August Member Rates Marketing 	Promote Member Rates and end of summer, including Labor Day savings with rates from $89. 	8/1/2017	8/31/2017	8/1/2017	9/30/2017	PM	No	Yes	Yes	No	Yes	No	Yes	No	Yes	Yes	
Aug-17	Meagan Stephanson	PORTFOLIO	National B2C	Divisional - Hotels in All Regions within One Single participating Division	Other - please list in column G	Americas	No	Americas BMD Marketing	Package	Leisure	Entire US - Holiday Breakfast Promotion	Promote Q4 stays using holiday messaging and breakfast for two package (S4B -Marriott, BAR1B - SPG)	10/1/2017	12/31/2017	10/1/2017	12/31/2017	PM	No	Yes	Yes	No	Yes	No	Yes	Yes	Yes	Yes	
Sep-17	Sara Silvestri	PORTFOLIO	Loyalty	Cluster - Participation of two or more hotels; usually, but not necessarily, within a Single Market		New Jersey	No	Field Marketing	Loyalty Offers (MI, RC & SW)	Leisure	New Jersey weekends: Get 15% off + points + more	Stay 2+ nights in NJ hotels and receive 15% off + breakfast and bonus points	9/15/2017	3/31/2018	9/15/2017	3/31/2018	CY, RI	No	No	Yes	No	Yes	No	Yes	No	No	No	
Aug-17	Adriana Mendez-Villamil	US EAST	Destination Cluster	Cluster - Participation of two or more hotels; usually, but not necessarily, within a Single Market	Philadelphia, PA-NJ	NA	No	Field Marketing	Package	Leisure	Philadelphia Suburbs - Harry Potter Themed Package	Receive a Harry Potter Welcome Bag upon check-in and 2017 Harry Potter Conference schedule of events	7/28/2017	10/16/2017	10/19/2017	10/21/2017	CY, RI, SH	Yes	No	Yes	No	Yes	Yes	Yes	No	No	No	CVB, College site
Aug-17	Adriana Mendez-Villamil	US EAST	Regional Portfolio	Multi-Regional - Hotels from Two or more Regions (but not all) within One Single participating Division	Eastern US	Philly, Boston, Greater NYC, New England	Yes	Field Marketing	Rate Only	Leisure	Eastern US - Premium Room Upgrade	Save up to 50% on room upgrades	1/1/2017	12/31/2017	1/1/2017	12/31/2017	CY	No	No	No	No	Yes	Yes	Yes	No	No	No	
Aug-17	Adriana Mendez-Villamil	US EAST	Destination Cluster	Cluster - Participation of two or more hotels; usually, but not necessarily, within a Single Market	Philadelphia, PA-NJ	NA	No	Field Marketing	Package	Leisure	Philadelphia, PA, NJ - Family Fun at LEGOLAND Discovery Center	Receive breakfast for two, two tickets to LEGOLAND and one LEGO toy.	8/23/2017	12/31/2017	8/23/2017	12/31/2017	CY, SH	No	No	No	No	Yes	No	Yes	No	No	No	Yes CVB
Sep-17	Amanda Branch	US EAST	Destination Cluster	Cluster - Participation of two or more hotels; usually, but not necessarily, within a Single Market	Atlanta, GA		Yes	Field Marketing	Rate Only	Leisure	Atlanta - AAA Hot Deals -  Save up to 20%	AAA Hot Deals Save up to 20%	01/01/2017	12/31/2017	01/01/2017	12/31/2017	CY, RI, SH, TS, FI					Yes		Yes				
Sep-17	Amanda Branch	US EAST	Destination Cluster	Cluster - Participation of two or more hotels; usually, but not necessarily, within a Single Market	Atlanta, GA		Yes	Field Marketing	Rate Only	Leisure	Atlanta - Advance Purchase - Save up to 20%	Advance Purchase - Save up to 20% when you book 3-21 days in advance	01/01/2017	12/31/2017	01/01/2017	12/31/2017	CY, RI, SH, TS, FI					Yes		Yes				
Sep-17	Amanda Branch	US EAST	Destination Cluster	Cluster - Participation of two or more hotels; usually, but not necessarily, within a Single Market	Atlanta, GA		Yes	Field Marketing	Package	Leisure	Atlanta - Stay For Breakfast	Stay For Breakfast includes breakfast for 2 adults and 2 children with a Friday or Saturday night stay	01/01/2017	12/31/17	01/01/17	12/31/2017	CY					Yes		Yes				
Aug-17	Andrea Walters	US EAST	Destination Cluster	Cluster - Participation of two or more hotels; usually, but not necessarily, within a Single Market	Other - please list in column G	Alabama	No	Field Marketing	Rate Only	Leisure	Alabama -  Alabama University's Great Rates for Move in Weekends	Great rates for Colleges and Universities move in weekends across the state of Alabama	7/31/2017	9/15/2017	ongoing	ongoing	CY, RI	No	No	No	No	No	Yes	Yes	No	No	No	
Aug-17	Andrea Walters	US EAST	Destination Cluster	Cluster - Participation of two or more hotels; usually, but not necessarily, within a Single Market	Other - please list in column G	Memphis, TN	Yes	Field Marketing	Package	Leisure	Memphis - Get Away to Memphis and Enjoy Cocktails on Us!	Accommodations and 2 cocktails per night	7/15/2017	12/31/2017	7/15/2017	12/31/2017	CY	No	No	No	No	No	Yes	Yes	No	No	No	Possible METT with Nashville to cover all TN hotels with same Cocktail offer
Jul-17	Annette Askounis	US EAST	Destination Cluster	Cluster - Participation of two or more hotels; usually, but not necessarily, within a Single Market	Nashville, TN	n/a	Yes	Field Marketing	Package	Leisure	Nashville - Music City's Top Attraction!	Experience Nashville and enjoy 2 tickets to the Country Music Hall of Fame.	12/31/2017	12/31/2017	7/6/2017	12/31/2017	CY, SH, RI, BR, TS	No	No	No	No	Yes	Yes	Yes	No	No	No	Trip Advisor
Jul-17	Annette Askounis	US EAST	Destination Cluster	Cluster - Participation of two or more hotels; usually, but not necessarily, within a Single Market	Nashville, TN	n/a	No	Field Marketing	Package	Leisure	Nashville - Experience the Solar Eclipse in Nashville TN!	On August 21, 2017 witness a once in a lifetime event as the lights go out in Nashville during a total solar eclipse.	8/21/2017	8/21/2017	8/19/2017	8/21/2017	SH, RI, BR	No	No	Yes	No	Yes	Yes	Yes	No	No	No	n/a
Jul-17	Caitlin Ryan	US EAST	Destination Cluster	Cluster - Participation of two or more hotels; usually, but not necessarily, within a Single Market	Baltimore, MD		Yes	Field Marketing	Rate Only	Leisure	Baltimore - Baltimore is calling. Save 15%. 	Save up to 15% on your next visit to Baltimore. 	7/1/2017	9/30/2017	7/1/2017	9/30/2017	SI, WI, AH, EL	No	Yes	No	No	Yes	Yes	No	No	No	No	
Aug-17	Caitlin Ryan	US EAST	Destination Cluster	Cluster - Participation of two or more hotels; usually, but not necessarily, within a Single Market	Baltimore, MD	NA	Yes	Focus Marketing	Rate Only	Leisure	Baltimore - Fall in Love with Savings	Book now to save up to 15% at hotels in Baltimore.	8/1/2017	12/31/2017	8/1/2017	12/31/2017	SI, WI, AL, EL	No	Yes	No	No	Yes	No	Yes	No	No	No	TripAdvisor, Sojern
Aug-17	Caitlin Ryan	US EAST	Destination Cluster	Cluster - Participation of two or more hotels; usually, but not necessarily, within a Single Market	Washington, DC-MD-VA	NA	Yes	Focus Marketing	Rate Only	Leisure	Washington D.C. - Fall Savings	Book now and save up to 15% at hotels in the D.C. metro.	8/1/2017	10/31/2017	8/1/2017	12/31/2017	SI, WI, W, ST, AL, EL	No	No	No	No	Yes	No	Yes	No	No	No	TripAdvisor, Sojern
Jul-17	Caroline Dean	US EAST	Destination Cluster	Cluster - Participation of two or more hotels; usually, but not necessarily, within a Single Market	Other - please list in column G	Florida	No	Field Marketing	Multiple	Leisure	Florida - Brake for Breakfast Package	Choose from over 20 hotels in FL and receive breakfast and self parking! 	11/10/2017	11/10/2017	7/10/2017	11/10/2017	JW, FS, BR, GH, AK	No	No	No	No	Yes	No	Yes	Yes	No	No	
